Kanji	Significado	Leitura(s) ON	Leitura(s) KUN	Mnemônica	Nível JLPT
三	Três	サン	み, み・つ, みっ・つ	Três traços horizontais representando o número três.	N5
前	Frente, antes	ゼン	まえ	Sob o topo (丷) e a linha (一), a lua (月) e a faca (刂) indicam o que está à frente.	N5
入	Entrar	ニュウ	い・る, い・れる, はい・る	O movimento de inclinar-se para a frente ao entrar em uma abertura.	N5
小	Pequeno	ショウ	ちい・さい, こ, お	Um gancho central (亅) rodeado por pequenas gotas (ハ), simbolizando algo pequeno.	N5
後	Atrás, depois	ゴ, コウ	のち, うし・ろ, あと, おく・れる	Alguém que caminha (彳) seguindo um fio (幺) devagar (夂) e fica para atrás.	N5
長	Longo, chefe	チョウ	なが・い	Representação de um chefe ou líder com cabelos muito longos.	N5
下	Baixo, descer	カ, ゲ	した, しも, もと, さ・げる, さ・がる, くだ・る, くだ・す, くだ・さる, お・ろす, お・りる	Um ponto (ト) colocado abaixo de uma linha horizontal (一) para indicar o que é baixo.	N5
学	Estudar	ガク	まな・ぶ	Uma criança (子) sob um telhado (冖) e sinais de conhecimento (⺍) dedicada a estudar.	N5
月	Lua, mês	ゲツ, ガツ	つき	Desenho da lua crescente que marca a duração de um mês.	N5
何	O que	カ	なに, なん	"Uma pessoa (亻) que se pergunta o que é possível (可) realizar: ""O que fazer?""."	N5
来	Vir, próximo	ライ	く・る, きた・る, きた・す	Uma planta de cereais sob uma linha (一) e o símbolo de arroz (米) indicando que a colheita vai vir.	N5
話	Falar, história	ワ	はな・す, はなし	O uso da língua (舌) e do dizer (言) para falar uma história.	N5
山	Montanha	サン	やま	Representação visual dos três picos de uma montanha.	N5
高	Alto, caro	コウ	たか・い, たか, たか・まる, たか・める	Representação de uma torre ou prédio com um portão e um telhado: algo alto.	N5
今	Agora	コン, キン	いま	Sob um abrigo ou telhado (亼), um ato rápido (乛) que ocorre no presente, agora.	N5
書	Escrever, livro	ショ	か・く	Uma mão segurando um pincel (聿) para registrar o dia (日) ao escrever.	N5
五	Cinco	ゴ	いつ, いつ・つ	Dois traços horizontais cruzados por linhas verticais (二, 丨, 𠃍) para representar o número cinco.	N5
名	Nome	メイ, ミョウ	な	À noite (夕), o uso da boca (口) para dizer o seu nome e se identificar no escuro.	N5
金	Ouro, metal, dinheiro	キン, コン	かね, かな	Partículas de metal ou ouro enterradas sob um abrigo ou cobertura.	N5
男	Homem	ダン, ナン	おとこ	O uso da força (力) para trabalhar no campo (田), tarefa típica do homem.	N5
外	Fora	ガイ, ゲ, ウイ	そと, ほか, はず・す, はず・れる	À noite (夕), o uso de vaticinação (ト) para decidir se deve ir para fora.	N5
四	Quatro	シ	よ, よ・つ, よっ・つ, よん	Um cercado (囗) com divisões internas (八) para indicar o número quatro.	N5
先	Antes, futuro	セン	さき	Alguém que caminha com suas pernas (儿) sobre a terra (土) através de um caminho (丿) para chegar antes.	N5
川	Rio	セン	かわ	Representação das linhas de correnteza de um rio.	N5
東	Leste	トウ	ひがし	O sol (日) aparecendo atrás de uma árvore (木) para indicar o leste.	N5
聞	Ouvir, perguntar	ブン, モン	き・く, き・こえる	O uso do ouvido (耳) posicionado no portão (門) para ouvir o que acontece.	N5
語	Idioma, palavra	ゴ	かた・る, かた・らう	Usar as palavras (言) com o símbolo de cinco (五) e a boca (口) para falar um idioma.	N5
九	Nove	キュウ, ク	ここの, ここの・つ	Representação estilizada para o número nove.	N5
食	Comer, comida	ショク, ジキ	く・う, く・らう, た・べる	Sob um abrigo (亼), a busca por algo bom (良) para comer.	N5
八	Oito	ハチ	や, や・つ, やっ・つ, よう	Representação de algo sendo dividido ou das pernas abertas para indicar o número oito.	N5
水	Água	スイ	みず	Desenho da correnteza de um rio ou da água fluindo livremente.	N5
天	Céu	テン	あめ, あま	O espaço grande (大) acima de uma linha horizontal (一) que representa o firmamento ou céu.	N5
木	Árvore, madeira	ボク, モク	き, こ	Desenho clássico de uma árvore com seu tronco, galhos superiores e raízes.	N5
六	Seis	ロク	む, む・つ, むっ・つ, むい	Representação estilizada e tradicional para o número seis.	N5
万	Dez mil, miríade	マン, バン	Não possui	Um braço que envolve (勹) a unidade (一) para representar a quantia de dez mil.	N5
白	Branco	ハク, ビャク	しろ, しら, しろ・い	Representação do sol surgindo, simbolizando a pureza da cor branca.	N5
七	Sete	シチ	なな, なな・つ, なの	Representação estilizada e tradicional para o número sete.	N5
円	Círculo, iene	エン	まる・い	Um espaço cercado (冂) contendo traços internos (丄, 一) que definem a forma de um círculo.	N5
電	Eletricidade	デン	Não possui	A chuva (雨) que cai sobre o campo (田) trazendo a luz da eletricidade.	N5
父	Pai	フ	ちち	Uma mão segurando objetos cruzados (八, 乂) que simbolizam a autoridade e o trabalho do pai.	N5
北	Norte	ホク	きた	Duas pessoas sentadas de costas uma para a outra (丬, ヒ) para se protegerem do frio do norte.	N5
車	Carro, veículo	シャ	くるま	Visão aérea de uma carroça antiga, mostrando as rodas e o eixo de um carro ou veículo.	N5
母	Mãe	ボ	はは	Uma variante do caractere mulher com pontos extras (丶) que representam a nutrição da mãe.	N5
半	Metade, meio	ハン	なか・ば	O ato de dividir algo (丷) exatamente ao meio entre dois traços horizontais (二) com uma linha (丨).	N5
百	Cem	ヒャク	Não possui	A adição de um traço superior (一) ao caractere branco (白) para indicar a contagem de cem.	N5
土	Terra, solo	ド, ト	つち	Uma planta ou broto surgindo da linha horizontal do solo, representando a terra.	N5
西	Oeste	セイ, サイ	にし	Representação de um pássaro em seu ninho, que retorna ao abrigo quando o sol se põe no oeste.	N5
読	Ler	ドク, トク, トウ	よ・む	O uso das palavras (言) diante de um senhor ou mestre (士) para realizar a ação de ler.	N5
千	Mil	セン	ち	Um traço inclinado (丿) adicionado ao topo do caractere dez (十) para representar o número mil.	N5
校	Escola	コウ	Não possui	Uma árvore (木) plantada no local onde as pessoas se encontram e trocam (交) conhecimentos: a escola.	N5
右	Direita	ウ, ユウ	みぎ	A mão (𠂇) que tradicionalmente leva o alimento à boca (口) é a mão direita.	N5
南	Sul	ナン	みなみ	Sob um telhado e cercado (冂, 丷), a vegetação (干) cresce em direção ao calor (十) que vem do sul.	N5
左	Esquerda	サ	ひだり	A mão (𠂇) que segura uma ferramenta de trabalho (工) em apoio é a mão esquerda.	N5
友	Amigo	ユウ	とも	Uma mão (𠂇) estendida para outra mão (又) em sinal de parceria e auxílio entre amigos.	N5
火	Fogo	カ	ひ, ほ	Desenho das chamas de um fogo subindo com faíscas para os lados.	N5
毎	Todo (every)	マイ, バイ	Não possui	Uma pessoa (𠂉) que cuida de sua mãe ou família (毋) todo santo dia.	N5
雨	Chuva	ウ	あめ, あま	Gotas de água caindo de uma nuvem sob o firmamento, representando a chuva.	N5
休	Descansar	キュウ	やす・む, やす・まる, やす・める	Uma pessoa (亻) que encosta em uma árvore (木) para fazer uma pausa e descansar.	N5
午	Meio-dia	ゴ	Não possui	Representação de um pilão ou ferramenta que, ao atingir o ponto máximo, marca o meio-dia.	N5
言	Dizer, palavra	ゲン, ゴン	い・う, こと	O uso da boca (口) para emitir sons (二) sob um sinal (亠) e dizer algo.	N4
手	Mão, braço	シュ	て, た	Desenho estilizado de uma mão humana com seus dedos e o pulso.	N4
自	Si mesmo	ジ, シ	みずか・ら	Desenho simplificado de um nariz (丿, 目), parte do rosto que as pessoas apontam para se referir a si mesmas.	N4
者	Pessoa	シャ	もの	Um ancião (耂) que observa o passar do dia (日) e se torna uma pessoa sábia.	N4
事	Coisa, assunto	ジ, ズ	こと	Uma mão segura um registro (亅, 彐) para anotar cada assunto (口) ou coisa (一) que acontece.	N4
思	Pensar, lembrar	シ	おも・う	O coração (心) focado no campo (田) ou nos desejos básicos, representando o ato de pensar.	N4
会	Encontrar, reunião	カイ, エ	あ・う	Várias pessoas (人) reunidas sob um mesmo teto (二, 厶) para se encontrar.	N4
家	Casa, família	カ, ケ	いえ, や	Um porco (豕) abrigado sob um telhado (宀), simbolizando o sustento de uma casa ou família.	N4
的	Alvo, sufixo de adjetivo	テキ	まと	O brilho branco (白) que serve como o alvo central em um suporte ou colher (勺).	N4
方	Direção, pessoa	ホウ	かた	O desenho de uma ferramenta de arado que aponta para uma direção específica.	N4
地	Chão, terra	チ, ジ	Não possui	A terra (土) que se estende por uma superfície (elástica/也) formando o chão.	N4
目	Olho	モク, ボク	め, ま	Desenho estilizado de um olho humano com a pupila central.	N4
場	Lugar	ジョウ	ば	Um terreno (土) iluminado pelo sol (日) onde as coisas (一, 勿) acontecem: um lugar.	N4
代	Substituto, custo, era	ダイ, タイ	か・わる, か・える, よ, しろ	Uma pessoa (亻) que usa uma ferramenta (弋) no lugar de outra: um substituto.	N4
私	Eu, privado	シ	わたくし, わたし	O cultivo (禾) privado reservado para si mesmo (厶): eu.	N4
立	Ficar de pé	リツ, リュウ	た・つ, た・てる	Uma pessoa sobre uma linha horizontal, mantendo-se ereta e de pé.	N4
物	Coisa	ブツ, モツ	もの	Um animal (牛) usado para representar diversos objetos ou coisas (勿).	N4
田	Campo de arroz	デン	た	Desenho de um campo de arroz dividido em quatro partes para o plantio.	N4
体	Corpo	タイ, テイ	からだ	Uma pessoa (亻) em sua forma fundamental ou base (本): o corpo.	N4
動	Mover	ドウ	うご・く, うご・かす	O uso da força (力) para deslocar algo pesado (重): o ato de mover.	N4
社	Empresa, santuário xintoísta	シャ	やしろ	Um altar ou sinal (礻) construído sobre a terra (土) para representar a empresa ou santuário.	N4
知	Saber	チ	し・る	Usar a boca (口) para disparar o conhecimento como se fosse uma flecha (矢): o ato de saber.	N4
理	Lógica, razão	リ	Não possui	A maneira como uma joia (王) é trabalhada na vila (里), seguindo uma lógica ou razão.	N4
同	Mesmo	ドウ	おな・じ	Pessoas sob um limite (冂) compartilhando uma boca (口) ou opinião: o mesmo pensamento.	N4
心	Coração, mente	シン	こころ	Representação estilizada do órgão físico e dos sentimentos do coração.	N4
発	Emitir, partir	ハツ, ホツ	Não possui	Pernas (儿) que se impulsionam (癶) para fora para emitir um sinal ou partir.	N4
作	Fazer	サク, サ	つく・る	Uma pessoa (亻) em atividade súbita (乍) para fazer ou criar algo.	N4
新	Novo	シン	あたら・しい, あら・た, にい	Cortar uma árvore (木) com um machado (斤) e deixá-la de pé (立) como algo novo.	N4
世	Mundo, geração	セイ, セ	よ	Gerações (廿) que se estendem (乚) através do tempo e do mundo.	N4
度	Grau, vezes	ド, ト, タク	たび	Sob um telhado (广), a repetição de medidas (廿, 又) indica o grau ou as vezes.	N4
明	Claro, brilhante	メイ, ミョウ	あ・かり, あか・るい, あか・るむ, あか・らむ, あき・らか, あ・ける, あ・く, あ・くる, あ・かす	A luz do sol (日) e da lua (月) juntas para criar algo claro e brilhante.	N4
力	Força, poder	リョク, リキ	ちから	Desenho de um arado manual ou de um músculo, representando o poder e a força.	N4
意	Ideia, mente	イ	Não possui	O som (音) que vem do coração (心) expressando uma ideia ou intenção.	N4
用	Usar	ヨウ	もち・いる	Desenho de uma ferramenta ou cercado que está pronto para ser útil e usar.	N4
主	Mestre, principal	シュ, ス	ぬし, おも	Uma chama (丶) sobre a marca de um rei (王): o mestre principal.	N4
通	Passar, ir e vir	ツウ, ツ	とお・る, とお・す, かよ・う	Usar uma ferramenta (用) para percorrer (辶) um caminho e passar por ele.	N4
文	Sentença, literatura	ブン, モン	ふみ	Linhas cruzadas (乂) sob um topo (亠) que formam uma sentença ou literatura.	N4
屋	Casa, loja, telhado	オク	や	Alguém (尸) que chega (至) a um local coberto: uma casa ou loja.	N4
業	Trabalho, negócio	ギョウ, ゴウ	わざ	Tábuas de escrita (业) sobre um suporte (羊) representando o trabalho ou negócio.	N4
持	Segurar, ter	ジ, チ	も・つ	Uma mão (扌) que segura algo com a reverência de quem está em um templo (寺): o ato de segurar.	N4
道	Caminho, estrada	ドウ, トウ	みち	Uma cabeça (首) que avança (辶) guiando o corpo por um caminho ou estrada.	N4
身	Corpo, si mesmo	シン	み	Desenho do perfil de uma pessoa grávida, representando o corpo e a si mesmo.	N4
不	Não, negativo	フ, ブ	Não possui	Uma semente sob a terra que não brota, indicando o sentido negativo ou não.	N4
口	Boca, abertura	コウ, ク	くち	Desenho estilizado de uma boca ou abertura.	N4
多	Muitos	タ	おお・い	O símbolo de noite (夕) repetido para indicar que existem muitos.	N4
野	Campo, selvagem	ヤ	の	Uma vila (里) com espaço aberto (予) para o campo ou vida selvagem.	N4
考	Pensar, considerar	コウ	かんが・える	Um ancião (耂) que para e se curva (勹) para pensar e considerar.	N4
開	Abrir	カイ	ひら・く, あ・く, あ・ける	Duas mãos (廾) retirando o ferrolho (一) de um portão (門) para abrir.	N4
教	Ensinar, religião	キョウ	おし・える, おそ・わる	Um ancião (耂) ensinando uma criança (孑) com a ajuda de uma vara (攵): o ato de ensinar.	N4
近	Perto	キン, コン	ちか・い	O uso de um machado (斤) para encurtar o caminho (辶) e chegar perto.	N4
以	Por meio de	イ	Não possui	Uma pessoa (人) usando uma ferramenta ou referência para agir por meio de.	N4
問	Pergunta, perguntar	モン	と・う, と・い, とん	Uma boca (口) posicionada em um portão (門) para fazer uma pergunta.	N4
正	Correto, justo	セイ, ショウ	ただ・しい, ただ・す, まさ	Um pé que para (止) diante de uma linha (一) indicando o caminho correto.	N4
真	Verdade, real	シン	ま	Dez (十) olhos observando uma ferramenta (具) para encontrar a verdade real.	N4
味	Sabor, gosto	ミ, ビ	あじ, あじ・わう	A boca (口) provando algo que ainda não (未) amadureceu para sentir o sabor.	N4
界	Mundo, limite	カイ	Não possui	Um campo (田) que serve como limite ou intermediário (介) para o mundo.	N4
無	Nada, sem	ム, ブ	な・い	Nada resta (𠂉, 一, 丨) após a passagem do fogo (灬): o sentido de nada.	N4
少	Pouco, um pouco	ショウ	すく・ない, すこ・し	Algo pequeno (小) que foi reduzido por um traço (丿): apenas um pouco.	N4
海	Mar, oceano	カイ	うみ	A água (氵) que se encontra com a mãe (毎) de todas as águas: o mar.	N4
切	Cortar	セツ, サイ	き・る, き・れる	O uso de uma faca (刀) para separar o número sete (七) ou cortar.	N4
重	Pesado, sobrepor	ジュウ, チョウ	おも・い, かさ・ねる, かさ・なる	Carregar um fardo de mil (千) medidas sobre a terra (里): algo pesado.	N4
集	Reunir	シュウ	あつ・まる, あつ・める, つど・う	Pássaros (隹) reunidos sobre uma árvore (木) para se reunir.	N4
員	Funcionário, membro	イン	Não possui	Uma boca (口) sobre um objeto precioso (貝) representando o membro ou funcionário.	N4
公	Público, oficial	コウ	おおやけ	Algo dividido (八) de forma privada (厶) para se tornar público.	N4
画	Imagem, traço	ガ, カク	Não possui	Um campo (田) delimitado por traços (一, 凵, 丨) para formar uma imagem.	N4
死	Morte, morrer	シ	し・ぬ	O que resta (歹) de uma pessoa (匕) após o fim da vida: a morte.	N4
安	Seguro, pacífico, barato	アン	やす・い	Uma mulher (女) protegida sob o telhado (宀) de sua casa, sentindo-se segura.	N4
親	Pais, íntimo	シン	おや, した・しい, した・しむ	Ficar de pé (立) sobre uma árvore (木) para conseguir ver (見) seus pais ou íntimos.	N4
強	Forte, forçar	キョウ, ゴウ	つよ・い, つよ・まる, つよ・める, し・いる	Um arco (弓) forte que pode subjugar um inseto (虫) ou forçar algo.	N4
使	Usar	シ	つか・う	Uma pessoa (亻) que recebe ordens de um oficial (吏) para usar ou realizar uma tarefa.	N4
朝	Manhã	チョウ	あさ	O sol (日) surgindo entre a grama (十) enquanto a lua (月) ainda é visível pela manhã.	N4
題	Tópico, tema	ダイ	Não possui	O que é considerado correto (是) ser colocado no topo da página (頁) como o tópico principal.	N4
仕	Servir, fazer	シ, ジ	つか・える	Uma pessoa (亻) agindo como um samurai ou oficial (士) para servir a alguém.	N4
京	Capital	キョウ, ケイ	Não possui	Um prédio alto (亠) com um portão (口) em uma cidade (小) que serve como capital.	N4
足	Pé, perna, suficiente	ソク	あし, た・りる, た・る, た・す	Uma articulação ou joelho (口) conectado a uma perna que para (止) no chão: o pé.	N4
品	Item, produto	ヒン	しな	Várias bocas (口) ou caixas empilhadas representando diversos itens ou produtos.	N4
着	Chegar, vestir	チャク, ジャク	き・る, き・せる, つ・く, つ・ける	Uma ovelha (羊) sendo observada pelo olho (目) ao chegar ou ao ser vestida.	N4
別	Separar, diferente	ベツ	わか・れる	O uso de uma faca (刀) para cortar algo em partes (口) e as separar.	N4
音	Som	オン, イン	おと, ね	Algo que se mantém de pé (立) sobre o sol (日) ou o dia, emitindo um som.	N4
元	Origem, saúde	ゲン, ガン	もと	Duas linhas (二) sobre as pernas (儿) de uma pessoa, representando sua origem.	N4
特	Especial	トク	Não possui	Um boi (牛) sagrado levado a um templo (寺) para uma ocasião especial.	N4
風	Vento, estilo	フウ, フ	かぜ, かざ	O movimento do ar (几) que carrega pequenos insetos (虫) como o vento.	N4
夜	Noite	ヤ	よ, よる	Uma pessoa (亻) que caminha devagar (夂) sob um abrigo (亠) durante a noite.	N4
空	Vazio, céu	クウ, コウ	そら, あ・く, あ・ける, から	Um buraco (穴) feito por trabalho (工) humano que ficou vazio sob o céu.	N4
有	Ter, existir	ユウ, ウ	あ・る	Uma mão (𠂇) segurando um pedaço de carne ou a lua (月) para mostrar que se consegue ter.	N4
起	Acordar, levantar	キ	お・きる, お・こる, お・こす	Uma pessoa (己) que começa a se mover ou correr (走) logo após acordar.	N4
運	Carregar, sorte	ウン	はこ・ぶ	Um exército (軍) que se desloca (辶) em um caminho para carregar suprimentos ou sorte.	N4
料	Taxa, material	リョウ	Não possui	Medir o arroz (米) com uma concha (斗) para calcular a taxa ou o material.	N4
楽	Diversão, música	ガク, ラク	たの・しい, たの・しむ	Instrumentos de madeira (木) que trazem alegria (白) e diversão através da música.	N4
色	Cor	ショク, シキ	いろ	Uma pessoa inclinada sobre outra, representando a variedade de aparências e cores.	N4
帰	Retornar	キ	かえ・る, かえ・す	Organizar as ferramentas (刂, 彐) e panos (巾) sob um abrigo para retornar.	N4
歩	Andar	ホ, ブ, フ	ある・く, あゆ・む	Dar pequenos (少) passos parando (止) sucessivamente para andar.	N4
悪	Mau, ruim	アク, オ	わる・い	Um coração (心) que é considerado inferior ou torto (亜): algo mau ou ruim.	N4
広	Amplo, espalhar	コウ	ひろ・い, ひろ・まる, ひろ・める, ひろ・がる, ひろ・げる	Um abrigo (广) com um espaço privado (厶) que foi estendido para ser amplo.	N4
店	Loja	テン	みせ	Um local coberto (广) onde se ocupa (占) um espaço para estabelecer uma loja.	N4
町	Cidade	チョウ	まち	Um campo (田) que foi dividido em seções (丁) para formar uma cidade.	N4
住	Morar, residir	ジュウ	す・む, す・まう	Uma pessoa (亻) que se estabelece como dono ou mestre (主) de um local para morar.	N4
売	Vender	バイ	う・る, う・れる	Um oficial (士) que sai de um abrigo (冖) com mercadorias (儿) para as vender.	N4
待	Esperar	タイ	ま・つ	Alguém caminhando (彳) até um templo (寺) e parando para esperar.	N4
古	Velho, antigo	コ	ふる・い, ふる・す	Algo que foi contado por dez (十) bocas (口) através de gerações: algo velho.	N4
始	Começar	シ	はじ・める, はじ・まる	Uma mulher (女) em uma plataforma (台) pronta para começar algo.	N4
終	Fim, terminar	シュウ	お・わる, お・える	O ato de dar o último ponto no fio (糸) quando o inverno (冬) chega: o fim.	N4
計	Plano, medidor	ケイ	はか・る, はか・らう	Dizer (言) os dez (十) passos necessários para organizar um plano.	N4
院	Instituição	イン	Não possui	Um local murado (阝) onde tudo é completo (完) e organizado: uma instituição.	N4
送	Enviar, remeter	ソウ	おく・る	Alguém que percorre um caminho (辶) sob o céu (天) para enviar algo.	N4
族	Família, tribo	ゾク	Não possui	Pessoas sob uma bandeira (方) que se protegem como flechas (矢): uma família.	N4
映	Refletir	エイ	うつ・る, うつ・す, は・える	O sol (日) posicionado no centro (央) de um local para refletir sua luz.	N4
買	Comprar	バイ	か・う	Usar uma rede (罒) para coletar conchas ou dinheiro (貝) e poder comprar.	N4
病	Doença	ビョウ, ヘイ	や・む, やまい	Alguém deitado em um leito de hospital (疒) devido a uma doença (丙).	N4
早	Cedo, rápido	ソウ, サッ	はや・い, はや・まる, はや・める	O sol (日) surgindo sobre a grama (十) logo ao amanhecer: muito cedo.	N4
質	Qualidade, questão	シツ, シチ, チ	Não possui	Usar um machado (斤) para avaliar o valor de bens (貝) e ver sua qualidade.	N4
台	Plataforma	ダイ, タイ	Não possui	Um objeto privado (厶) com uma abertura ou boca (口) que serve de plataforma.	N4
室	Sala	シツ	むろ	Um local coberto (宀) onde se chega (至) e se permanece: uma sala.	N4
可	Possível	カ	Não possui	Uma boca (口) que diz que um trabalho com ferramentas (一, 亅) é possível.	N4
建	Construir	ケン, コン	た・てる, た・つ	Usar uma ferramenta (聿) para traçar o plano de construir (廴) algo.	N4
転	Girar, rodar	テン	ころ・がる, ころ・げる, ころ・がす, ころ・ぶ	Um carro (車) que se move como nuvens (云) ao girar suas rodas.	N4
医	Médico	イ	Não possui	Uma flecha (矢) guardada em uma caixa (匚) usada pelo médico para curar.	N4
止	Parar	シ	と・まる, と・める	Representação visual de um pé plantado no chão para indicar o ato de parar.	N4
字	Letra, caractere	ジ	あざ	Uma criança (子) sob um telhado (宀) aprendendo a escrever cada letra.	N4
工	Engenharia, artefato	コウ, ク	Não possui	Representação de uma ferramenta de carpinteiro usada no trabalho de engenharia.	N4
急	Pressa, urgente	キュウ	いそ・ぐ	Um coração (心) envolto em um pacote (勹) sendo carregado pela mão (彐) com pressa.	N4
図	Desenho, mapa	ズ, ト	はか・る	Usar uma concha de medida (斗) dentro de um cercado (囗) para traçar um desenho ou mapa.	N4
黒	Preto	コク	くろ, くろ・い	Cinzas de um fogo (灬) que queimou a vila (里) deixando tudo preto.	N4
花	Flor	カ, ケ	はな	Uma planta (艹) que sofre uma mudança (化) ao desabrochar em flor.	N4
英	Inglês, brilhante	エイ	Não possui	Uma planta (艹) brilhante que se destaca no centro (央) de um local.	N4
走	Correr	ソウ	はし・る	Pés (疋) se movendo sobre a terra (土) ao correr.	N4
青	Azul, jovem	セイ, ショウ	あお, あお・い	Uma planta (龶) crescendo sob a luz clara da lua (月) indicando o frescor do azul.	N4
答	Resposta	トウ	こた・える, こた・え	Pedaços de bambu (竹) que se encaixam (合) perfeitamente como uma resposta.	N4
紙	Papel	シ	かみ	Fios de seda (糸) que formam a base (氏) para a criação do papel.	N4
歌	Música	カ	うた, うた・う	Abrir a boca (欠) em dois momentos (可) para tornar a música possível.	N4
注	Despejar, foco	チュウ	そそ・ぐ	Água (氵) sendo despejada sob o comando de um mestre (主) ou foco.	N4
赤	Vermelho	セキ, シャク	あか, あか・い, あか・らむ, あか・らめる	Terra (土) que se torna incandescente sob o calor do fogo (灬) ficando vermelha.	N4
春	Primavera	シュン	はる	Três (三) pessoas (人) sob o calor do sol (日) celebrando a primavera.	N4
館	Prédio	カン	やかた	Um grande prédio oficial (官) onde se fornece comida (飠).	N4
旅	Viagem	リョ	たび	Pessoas (𠂉) de um mesmo clã (氏) seguindo uma direção (方) em viagem.	N4
験	Teste, efeito	ケン, ゲン	Não possui	Examinar (㑒) um cavalo (馬) para realizar um teste de sua força.	N4
写	Copiar, foto	シャ	うつ・す, うつ・る	Dar (与) uma cópia de algo sob uma cobertura ou telhado (冖).	N4
去	Passado, partir	キョ, コ	さ・る	Algo privado (厶) que foi deixado na terra (土) no passado ao partir.	N4
研	Polir, pesquisar	ケン	と・ぐ	Usar uma pedra (石) em um suporte plano (开) para polir ou pesquisar.	N4
飲	Beber	イン, オン	の・む	Abrir a boca (欠) para consumir comida (飠) ou bebida.	N4
肉	Carne	ニク	Não possui	Fatias de carne representadas dentro de um contorno ou moldura (冂).	N4
服	Roupas	フク	Não possui	Uma mão (又) ajudando uma pessoa (卩) a vestir roupas sobre o corpo (月).	N4
銀	Prata	ギン	Não possui	Um metal (金) brilhante que para o olhar (艮) como a prata.	N4
茶	Chá	チャ, サ	Não possui	Uma planta (艹) colhida sob um abrigo (余) para servir como chá.	N4
究	Pesquisa	キュウ	きわ・める	Investigar nove (九) vezes dentro de um buraco ou caverna (穴) para uma pesquisa.	N4
洋	Oceano	ヨウ	Não possui	Água (氵) tão vasta e numerosa quanto um rebanho de ovelhas (羊) no oceano.	N4
兄	Irmão mais velho	ケイ, キョウ	あに	Uma boca (口) sobre pernas (儿) representando o irmão mais velho que fala pela família.	N4
秋	Outono	シュウ	あき	Grãos (禾) que ganham a cor do fogo (火) com a chegada do outono.	N4
堂	Prédio público, salão	ドウ, トウ	Não possui	Prédio com um salão (口) e telhado brilhante (⺌) construído sobre a terra (土).	N4
週	Semana	シュウ	Não possui	Percorrer (辶) o ciclo completo (周) de dias em uma semana.	N4
習	Aprender	シュウ	なら・う	Pássaro usando suas asas (羽) sob o sol branco (白) para aprender a voar.	N4
試	Testar	シ	こころ・みる, ため・す	Usar palavras (言) de acordo com um estilo ou regra (式) para testar algo.	N4
夏	Verão	カ, ゲ	なつ	Alguém (自) que caminha (夂) sob o sol único (一) do verão.	N4
弟	Irmão mais novo	テイ, ダイ, デ	おとうと	O uso de um arco (弓) amarrado por fios (丷, 丨, 丿) para o irmão mais novo praticar.	N4
